29492817T,391904384 391887160 391906885 391914940 391901037 391910927 391901568 3850084195 391899963 20380873
29492817F,20380873 391899963 3850084195 391901568 391910927 391901037 391914940 391906885 391887160 391904384
29492871T,95619243 36532927 36533108 1396564698 36532926 411400307 411400301 36532955 411400046 411400052 21436671 298553218 298553269 4525584608 298553565 298553271 4525584609 298553564 4525584611 298553273 4525584610 298553262 298553263 298553264 7052448261 298553265 7052448262 298553266 298553267 25768377 298552307 298552308 298553002 298553029 298553004 4525584617 298553078 298553031 298553032 298553008 298553080 4525584616 298553010 298553011 4525584615 298553012 4525584614 298553081 298553014 298553035 298553601 298553581 21436624 1396565609 36533484 4525584603 36533437 36533438 36533439 411400156 36533577 36533523 95619220 95619221 95619222 95619223 95619225 95619226 95619227 95619229 95619230 95619232 36533627 95619233 95619235 95619238 95619239 36533519 36533858 32975413 252358625 32975414 32975415 32975416 32975417 32975418 4555293097 4555289794 692473894 692473895 32975419 32975420 2301202768 32975421 32975422 248227251 29659460 391883180 391915631 391915945 1580432777 391899864 391896290 391892289 391899720 1331146284 391900734 391899831 391895772 391886974 391899045 391893623 430596612 471411691 430598109 430596305 430597503 430596503 430598759 430598436 430596540 430598659 430596493 430595931 430599460 430597973 430597194 430595644 430595411 430596379 430599807 430595929 430596915 430596822 430595891 430596406 430596648 430595846 430595454 430595925 430599623 430599262 29659668 430597488 29659669 248227258 29659670 2301202767 29659671 692473896 692473893 4555289793 3649579580 29659672 29659673 29659674 3649579588 252358566 29659675 3649579590 32974796 32974797 36532943 3649579589 36532941 694018446 36533755 36532940 36532939 36532938 36532937 36532936 36532935 36532934 36532933 36532932 36532931 1396564699 36532930 36532929 95619245 36532928 95619243
29492871F,36532928 95619243 36532927
29492872T,95619243 36532927 36533108 1396564698 36532926 411400307 411400301 36532955 411400046 411400052 21436671 298553218 298553269 4525584608 298553565 298553271 4525584609 298553564 4525584611 298553273 4525584610 298553262 298553263 298553264 7052448261 298553265 7052448262 298553266 298553267 25768377 4528421031 766946796 766946809 2215595090 766946812 766946799 766946803 766946807 766946808 766946792 766946798 3841974445 6697298102 436113796 3841974446 766946806 298552242 3740280211 3740280201 25768373 370962054 25768372 1462469770 293296343 25768371 25768370 4539938985 414601247 4539938986 5260893284 5260893283 4539939108 4539939099 4539939094 4539939098 4539939101 4539939100 4539939105 5260893271 2283641233 2283642494 34181856 1713160384 436113838 2046765443 3814679820 2046765436 2046765439 257902853 257902863 257902864 257902865 3365192939 257902866 3365192940 257902867 3365192941 257902868 492017602 257902869 257902870 257902871 32975844 492017605 32975398 3365192943 32975399 621095785 32975401 32975402 32975403 36533143 36533092 36533094 36533095 36533096 694018442 36533097 3365192945 36533098 36533099 36533100 36533101 36533102 36533103 36533104 36533105 36533106 95619246 36533107
29492872F,95619246 36533107 95619241 36533108 1396564698 36532926 411400307 411400301 36532955 411400046 411400052 21436671 298553218 298553269 4525584608 298553565 298553271 4525584609 298553564 4525584611 298553273 4525584610 298553262 298553263 298553264 7052448261 298553265 7052448262 298553266 298553267 25768377 298552307 298552308 298553002 298553029 298553004 4525584617 298553078 298553031 298553032 298553008 298553080 4525584616 298553010 298553011 4525584615 298553012 4525584614 298553081 298553014 298553035 298553601 298553581 21436624 1396565609 36533484 4525584603 36533437 36533438 36533439 411400156 36533577 36533523 95619220 95619221 95619222 95619223 95619225 95619226 95619227 95619229 95619230 95619232 36533627 95619233 95619235 95619238 95619239 36533519 36533858 32975413 252358625 32975414 32975415 32975416 32975417 32975418 4555293097 4555289794 692473894 692473895 32975419 32975420 2301202768 32975421 32975422 248227251 29659460 391883180 391915631 391915945 1580432777 391899864 391896290 391892289 391899720 1331146284 391900734 391899831 391895772 391886974 391899045 391893623 430596612 471411691 430598109 430596305 430597503 430596503 430598759 430598436 430596540 430598659 430596493 430595931 430599460 430597973 430597194 430595644 430595411 430596379 430599807 430595929 430596915 430596822 430595891 430596406 430596648 430595846 430595454 430595925 430599623 430599262 29659668 430597488 29659669 248227258 29659670 2301202767 29659671 692473896 692473893 4555289793 3649579580 29659672 29659673 29659674 3649579588 252358566 29659675 3649579590 32974796 32974797 36532943 3649579589 36532941 694018446 36533755 36532940 36532939 36532938 36532937 36532936 36532935 36532934 36532933 36532932 36532931 1396564699 36532930 36532929 95619245 36532928 95619243 36532927
29492876T,391897574 391885888 3670684408 3670684407 3682131539 391888279 257903369 3670684409
29492876F,257903369 3670684409 391917272 391897574 391885888
29492888T,391901001 391912387 391887031 391914291 391886989 391910701 391890080 391916501 391887116 391887558 391898017 391899892 391911383 391890489 391917709 391907303 391891317 391904384 391887160
29492888F,391887160 391904384 391891317 391907303 391917709 391890489 391911383 391899892 391898017 391887558 391887116 391916501 391890080 391910701 391886989 391914291 391887031 391912387 391901001
29492889T,391901001 391912387 3452347027 391886150 3452347028
29492889F,3452347028 391886150 3452347027 391912387 391901001
29492907T,36533441 36533442 36533443 36533444 36533445 95619258 36533446 3365192947 3365192949 36533447 36533448 36533449 36533450 3365192950 36533451 36533452 36533453 36533454 36533455 36533457 36533458 3365192948 36533459 694018445 36533460 1413992746 1413992745 3739272025 32974808 36533461 1413992743 32974809 621095786 32974810 32974811 257902742 257902759 257902760 257902761 257902762 3365192942 257902763 257902764 257902765 257902766 257902767 257902768 257902769 2046771637 4402730367 257902770 257902944 257902945 4402730364 4501138016 4406173565 4402735508 4402735507 2283641219 3814679819 2283641222 2283641224 2283641226 436113842 2283641229 2283641230 2283641231 2283641232 2283641233 5260893271 4539939105 4539939104 2046765457 4539939093 4539939091 2046765462 4539939092 2046765465 4539939089 4539939090 2046765460 4539939107 4539939108 5260893283 5260893284 4539938986 414601247 4539938985 25768370 25768371 293296343 1462469770 25768372 370962054 25768373 3740280201 3740280211 298552242 766946793 766946795 3841974444 766946791 3841974443 766946805 766946802 766946792 766946808 766946807 766946803 766946799 766946812 2215595090 766946809 766946810 4528421030 298552307 298552308 298553002 298553029 298553004 4525584617 298553078 298553031 298553032 298553008 298553080 4525584616 298553010 298553011 4525584615 298553012 4525584614 298553081 298553014 298553035 298553601 298553581 21436624 1396565609 36533484 4525584603 36533437 36533438 36533439 411400156 36533577 36533523 95619220 95619221 95619222 95619223 95619225
29492907F,95619223 95619225 95619226 95619227 95619229 95619230 95619232 36533627 95619233 95619235 95619238 95619239 36533519 36533858 32975413 252358625 32975414 32975415 32975416 32975417 32975418 4555293097 4555289794 692473894 692473895 32975419 32975420 2301202768 32975421 32975422 248227251 29659460 391883180 391915631 391915945 1580432777 391899864 391896290 391892289 391899720 1331146284 391900734 391899831 391895772 391886974 391899045 391893623 430596612 471411691 430598109 430596305 430597503 430596503 430598759 430598436 430596540 430598659 430596493 430595931 430599460 430597973 430597194 430595644 430595411 430596379 430599807 430595929 430596915 430596822 430595891 430596406 430596648 430595846 430595454 430595925 430599623 430599262 29659668 430597488 29659669 248227258 29659670 2301202767 29659671 692473896 692473893 4555289793 3649579580 29659672 29659673 29659674 3649579588 252358566 29659675 3649579590 32974796 32974797 36532943 3649579589 36532941 694018446 36533755 36532940 36532939 36532938 36532937 36532936 36532935 36532934 36532933 36532932 36532931 1396564699 36532930 36532929 95619245 36532928 95619243 36532927 36533108 1396564698 36532926 411400307 411400301 36532955 411400046 411400052 21436671 298553218 298553269 4525584608 298553565 298553271 4525584609 298553564 4525584611 298553273 4525584610 298553262 298553263 298553264 7052448261 298553265 7052448262 298553266 298553267 25768377 298552307 298552308 298553002 298553029 298553004 4525584617 298553078 298553031 298553032 298553008 298553080 4525584616 298553010 298553011 4525584615 298553012 4525584614 298553081 298553014 298553035 298553601 298553581 21436624 1396565609 36533484 4525584603 36533437 36533438 36533439 411400156 36533577 36533523 36533441 36533442
29492908T,36533441 36533442 36533443 36533444
